transaction_id,customer_id,product_id,quantity,transaction_date,branch
8001,1674,60,2,2025-08-26 12:03:02,Luxor
8002,616,32,4,2025-08-25 10:58:48,Cairo
8003,700,95,1,2025-08-24 19:57:19,Giza
8004,525,55,4,2025-08-24 10:06:44,Giza
8005,559,44,4,2025-08-24 21:31:14,Aswan
8006,1024,34,4,2025-08-24 18:37:26,Cairo
8007,461,47,3,2025-08-26 09:59:42,Aswan
8008,304,19,1,2025-08-26 04:09:34,Luxor
8009,581,8,5,2025-08-24 08:33:26,Cairo
8010,482,19,5,2025-08-26 18:04:10,Aswan
8011,704,1,2,2025-08-26 01:25:01,Alexandria
8012,1020,48,3,2025-08-24 15:54:46,Cairo
8013,704,20,4,2025-08-25 04:16:49,Alexandria
8014,1379,75,1,2025-08-26 06:03:05,Luxor
8015,1588,72,1,2025-08-25 05:48:12,Cairo
8016,375,85,2,2025-08-25 03:19:20,Alexandria
8017,1823,3,5,2025-08-25 17:30:40,Alexandria
8018,758,53,3,2025-08-26 16:15:47,Giza
8019,530,10,1,2025-08-25 23:16:52,Luxor
8020,765,40,3,2025-08-26 01:16:28,Aswan
8021,8,92,5,2025-08-25 17:41:59,Aswan
8022,923,63,4,2025-08-25 02:41:43,Alexandria
8023,1441,85,3,2025-08-26 05:37:02,Cairo
8024,1548,21,4,2025-08-25 17:12:32,Luxor
8025,1234,33,5,2025-08-24 16:16:17,Alexandria
8026,762,75,2,2025-08-25 13:08:01,Luxor
8027,1833,5,3,2025-08-25 14:16:35,Cairo
8028,263,44,4,2025-08-26 09:30:47,Giza
8029,181,47,4,2025-08-26 16:34:07,Giza
8030,835,33,3,2025-08-24 02:09:33,Aswan
8031,1526,99,1,2025-08-24 23:55:55,Alexandria
8032,783,23,2,2025-08-24 22:20:05,Aswan
8033,562,92,3,2025-08-25 08:16:04,Alexandria
8034,1310,23,1,2025-08-24 04:02:02,Giza
8035,712,97,3,2025-08-25 04:12:28,Aswan
8036,1814,86,1,2025-08-26 11:20:22,Aswan
8037,260,96,1,2025-08-25 17:38:11,Cairo
8038,1248,26,1,2025-08-25 08:09:32,Giza
8039,313,25,5,2025-08-25 19:14:44,Giza
8040,1719,99,1,2025-08-24 09:12:11,Luxor
8041,213,9,2,2025-08-25 14:49:55,Giza
8042,1708,3,3,2025-08-25 10:33:40,Cairo
8043,1306,35,4,2025-08-24 19:17:44,Aswan
8044,1266,24,3,2025-08-25 05:10:10,Aswan
8045,1106,44,2,2025-08-25 16:50:16,Luxor
8046,314,57,3,2025-08-26 14:13:04,Giza
8047,360,48,1,2025-08-26 16:23:06,Alexandria
8048,498,47,1,2025-08-25 23:36:07,Giza
8049,499,67,3,2025-08-26 02:00:05,Aswan
8050,1771,59,2,2025-08-26 02:07:31,Giza
8051,1354,64,3,2025-08-25 13:12:14,Giza
8052,1084,72,1,2025-08-24 20:05:58,Cairo
8053,1633,39,4,2025-08-24 08:20:24,Aswan
8054,1331,85,2,2025-08-26 10:22:45,Alexandria
8055,1534,100,4,2025-08-26 08:18:25,Alexandria
8056,1754,88,1,2025-08-25 22:02:47,Luxor
8057,106,97,1,2025-08-25 16:59:11,Cairo
8058,1602,67,2,2025-08-24 04:11:40,Giza
8059,761,88,2,2025-08-25 22:15:05,Alexandria
8060,547,20,5,2025-08-26 19:07:36,Alexandria
8061,365,36,1,2025-08-25 05:32:48,Giza
8062,814,93,2,2025-08-24 07:40:59,Giza
8063,1326,21,2,2025-08-25 21:46:18,Alexandria
8064,903,77,3,2025-08-26 09:32:04,Luxor
8065,11,79,1,2025-08-25 16:33:04,Luxor
8066,234,72,1,2025-08-26 11:01:21,Giza
8067,730,34,4,2025-08-25 18:10:06,Luxor
8068,47,2,2,2025-08-23 23:19:34,Cairo
8069,1700,59,4,2025-08-24 23:28:45,Cairo
8070,1128,64,5,2025-08-25 14:16:36,Giza
8071,306,20,1,2025-08-26 02:36:15,Giza
8072,233,72,3,2025-08-24 00:21:28,Giza
8073,570,21,3,2025-08-23 22:21:08,Giza
8074,1870,7,1,2025-08-25 10:50:57,Giza
8075,1009,62,4,2025-08-24 16:54:27,Cairo
8076,71,34,5,2025-08-24 17:16:36,Luxor
8077,347,30,4,2025-08-24 19:26:57,Aswan
8078,1484,12,1,2025-08-26 19:08:10,Aswan
8079,878,88,1,2025-08-24 11:41:02,Luxor
8080,1919,66,4,2025-08-24 05:10:52,Aswan
8081,476,95,5,2025-08-23 21:37:49,Alexandria
8082,1835,5,1,2025-08-26 14:52:18,Luxor
8083,1425,2,4,2025-08-26 15:57:50,Aswan
8084,53,55,1,2025-08-25 02:53:55,Giza
8085,1416,75,5,2025-08-24 15:19:37,Alexandria
8086,937,91,5,2025-08-24 10:12:20,Giza
8087,171,53,2,2025-08-23 21:21:44,Aswan
8088,285,91,2,2025-08-25 05:47:49,Alexandria
8089,1086,73,4,2025-08-24 18:44:40,Luxor
8090,1691,86,5,2025-08-24 21:01:48,Cairo
8091,1524,13,2,2025-08-25 02:15:10,Alexandria
8092,999,96,1,2025-08-26 03:32:07,Alexandria
8093,1103,59,3,2025-08-25 04:47:12,Giza
8094,659,96,3,2025-08-24 19:31:12,Luxor
8095,765,12,4,2025-08-26 09:50:05,Luxor
8096,374,26,3,2025-08-26 07:08:02,Luxor
8097,605,40,3,2025-08-25 09:51:09,Alexandria
8098,745,46,2,2025-08-26 19:10:59,Luxor
8099,609,75,2,2025-08-24 14:23:31,Alexandria
8100,420,99,4,2025-08-24 22:27:17,Aswan
8101,425,40,2,2025-08-26 04:13:43,Cairo
8102,308,86,5,2025-08-24 11:34:18,Alexandria
8103,1973,98,3,2025-08-25 19:00:09,Luxor
8104,71,97,2,2025-08-26 04:02:56,Giza
8105,905,50,5,2025-08-24 23:28:26,Aswan
